MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,TIME_OF_DAY,HOUR_OF_DAY,ILLUMINATION,WEATHER,ROAD_CONDITION,COLLISION_TYPE,RELATION_TO_ROAD,PERSON_COUNT,VEHICLE_COUNT,AUTOMOBILE_COUNT,MOTORCYCLE_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,MIN_INJ_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,UNBELTED_OCC_COUNT,PED_DEATH_COUNT,PED_MAJ_INJ_COUNT,COMM_VEH_COUNT,MAX_SEVERITY_LEVEL,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,lat,long,DEC_LAT,DEC_LONG
2301,2,3,1415,14,1,1,0,5,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 27:55.700,79 56:48.000,40.4655,-79.9467
2206,2,4,2318,23,2,4,3,7,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 37:22.416,79 49:27.662,40.6229,-79.8244
2304,3,6,1950,19,3,1,0,6,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 20:44.016,79 50:26.163,40.3456,-79.8406
2115,3,2,730,7,1,1,0,4,1,2,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,40 26:53.043,80 09:44.953,40.4481,-80.1625
2301,4,3,607,6,3,4,5,4,1,18,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,40 26:37.906,80 01:39.328,40.4439,-80.0276
2117,1,5,1550,15,1,1,0,4,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40 24:04.710,80 03:47.205,40.4013,-80.0631
2216,1,2,1639,16,1,1,0,2,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40 38:33.561,80 04:03.477,40.6426,-80.0674
2403,2,7,1111,11,1,1,0,4,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 23:40.352,79 58:12.208,40.3945,-79.9701
2111,3,6,533,5,3,1,0,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 22:54.013,79 49:03.499,40.3817,-79.8176
2301,4,6,225,2,3,4,1,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 27:22.019,80 01:45.630,40.4561,-80.0293
